"报表期起始日","报表期截止日","一、营业收入","净利息收入","其中:利息收入","利息支出","手续费及佣金净收入","其中:手续费及佣金收入","手续费及佣金支出","中间业务净收入","其中:中间业务收入","中间业务支出","净交易收入","其中:衍生金融工具交易净收入","汇兑收益","租赁收入","投资净收益","其中:对联营公司的投资收益","公允价值变动收益/(损失)","其他业务收入","特殊处理本身不平营业收入","特殊处理格式不同营业收入","二、营业支出","营业税金及附加","业务及管理费用","资产减值损失","折旧费","提取呆账准备","其他业务支出","特殊处理本身不平营业成本","特殊处理格式不同营业成本","特殊处理本身不平营业利润","特殊处理格式不同营业利润","三、营业利润","加:营业外收入","减:营业外支出","特殊处理本身不平利润总额","特殊处理格式不同利润总额","四、利润总额","减:所得税","特殊处理本身不平净利润1","特殊处理格式不同净利润1","五、净利润","少数股东权益","归属于母公司的净利润","特殊处理本身不平净利润2","特殊处理格式不同净利润2","加:年初未分配利润","其他因素调整","特殊处理本身不平可分配利润","特殊处理格式不同可分配利润","六、可供分配的利润","减:提取法定盈余公积","提取法定公益金","提取一般风险准备","提取信托赔偿准备金","其他<可分配利润>","特殊处理本身不平可供股东分配利润","特殊处理格式不同可供股东分配利润","七、可供股东分配的利润","减:应付优先股股利","提取任意盈余公积","应付普通股股利","转作股本的普通股股利","其他<可供股东分配的利润>","特殊处理本身不平未分配利润","特殊处理格式不同未分配利润","八、未分配利润","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","(一)归属于母公司所有者的综合收益总额","(二)归属于少数股东的综合收益总额","(一)基本每股收益","(二)稀释每股收益"
20180101,20180331,28026000000,18687000000,40944000000,22257000000,8594000000,9947000000,1353000000,,,,-178000000,,-178000000,,416000000,,373000000,76000000,,,19442000000,261000000,8510000000,10671000000,,,,,,,,8584000000,5000000,22000000,,,8567000000,1972000000,,,6595000000,,6595000000,,,,,,,6595000000,,,,,,,,6595000000,,,,,,,,6595000000,151000000,151000000,,6746000000,,,0.33,0.33
20170101,20171231,105786000000,74009000000,148068000000,74059000000,30674000000,35725000000,5051000000,,,,166000000,,166000000,,632000000,,-61000000,186000000,,,75563000000,1022000000,31616000000,42925000000,,,,,,,,30223000000,38000000,104000000,,,30157000000,6968000000,,,23189000000,,23189000000,,,64143000000,,,,87332000000,,,4084000000,,,,,83248000000,874000000,,2713000000,,,,,79661000000,281000000,281000000,,23470000000,,,1.3,1.3
20170101,20170930,79833000000,55482000000,108875000000,53393000000,23161000000,26646000000,3485000000,,,,280000000,,280000000,,644000000,,34000000,130000000,,,54833000000,745000000,21268000000,32820000000,,,,,,,,25000000000,28000000,89000000,,,24939000000,5786000000,,,19153000000,,19153000000,,,,,,,19153000000,,,,,,,,19153000000,,,,,,,,19153000000,374000000,374000000,,19527000000,,,1.06,1.06
20170101,20170630,54073000000,37361000000,71648000000,34287000000,15748000000,17869000000,2121000000,,,,52000000,,52000000,,739000000,,17000000,95000000,,,37605000000,503000000,13386000000,23716000000,,,,,,,,16468000000,15000000,51000000,,,16432000000,3878000000,,,12554000000,,12554000000,,,64143000000,,,,76697000000,,,,,,,,76697000000,874000000,,2713000000,,,,,73110000000,316000000,316000000,,12870000000,,,0.68,0.68
20170101,20170331,27712000000,18869000000,35045000000,16176000000,8150000000,9125000000,975000000,,,,45000000,,45000000,,611000000,,-25000000,62000000,,,19484000000,246000000,6804000000,12434000000,,,,,,,,8228000000,16000000,14000000,,,8230000000,2016000000,,,6214000000,,6214000000,,,,,,,6214000000,,,,,,,,6214000000,,,,,,,,6214000000,228000000,228000000,,6442000000,,,0.31,0.31
20160101,20161231,107715000000,76411000000,131119000000,54708000000,27859000000,31309000000,3450000000,,,,882000000,,882000000,,2368000000,-141000000,49000000,146000000,,,77936000000,3445000000,27973000000,46518000000,,,,,,,,29779000000,221000000,65000000,,,29935000000,7336000000,,,22599000000,,22599000000,,,52933000000,,,,75532000000,2260000000,,6940000000,,,,,66332000000,,,2189000000,,,,,64143000000,308000000,308000000,,22907000000,,,1.32,1.32
20160101,20160930,81968000000,54563000000,95575000000,41012000000,24174000000,26689000000,2515000000,,,,568000000,,568000000,,2466000000,,110000000,87000000,,,57423000000,3100000000,22708000000,31615000000,,,,,,,,24545000000,52000000,37000000,,,24560000000,5841000000,,,18719000000,,18719000000,,,,,,,18719000000,,,,,,,,18719000000,,,,,,,,18719000000,245000000,245000000,,18964000000,,,1.09,1.09
20160101,20160630,54769000000,36196000000,63568000000,27372000000,16448000000,18100000000,1652000000,,,,283000000,,283000000,,1608000000,25000000,160000000,74000000,,,38613000000,2839000000,15774000000,20000000000,,,,,,,,16156000000,29000000,31000000,,,16154000000,3862000000,,,12292000000,,12292000000,,,52933000000,,,,65225000000,,,,,,,,65225000000,,,2189000000,,,,,63036000000,144000000,144000000,,12436000000,,,0.72,0.72
20160101,20160331,27532000000,18398000000,32359000000,13961000000,8101000000,8896000000,795000000,,,,152000000,,152000000,,824000000,,-14000000,71000000,,,19518000000,1888000000,8080000000,9550000000,,,,,,,,8014000000,18000000,3000000,,,8029000000,1943000000,,,6086000000,,6086000000,,,,,,,6086000000,,,,,,,,6086000000,,,,,,,,6086000000,30000000,30000000,,6116000000,,,0.43,0.43
20150101,20151231,96163000000,66099000000,131649000000,65550000000,26445000000,29185000000,2740000000,,,,-573000000,,-573000000,,3924000000,46000000,107000000,161000000,,,67268000000,6671000000,30112000000,30485000000,,,,,,,,28895000000,40000000,89000000,,,28846000000,6981000000,,,21865000000,,21865000000,,,43656000000,,,,65521000000,2187000000,,8413000000,,,,,54921000000,,,1988000000,,,,,52933000000,734000000,734000000,,22599000000,,,1.56,1.56
